TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
0,4.7372,-1.6952,1.4497,-1.2417,-0.7482,21.8391,0.0000,50,False
1,4.1849,-1.5383,1.9233,-1.6141,1.0458,21.2977,0.0000,50,False
2,3.9220,-0.4663,1.3408,-1.3000,-0.3282,16.7771,0.0000,45,False
3,5.3077,-0.8384,1.4115,-1.3049,0.5380,20.1240,0.0000,55,False
4,3.7287,0.8127,1.8658,-1.8175,0.4216,20.4140,0.0000,46,False
5,5.2622,0.2353,1.3085,-0.3007,1.2735,17.2780,0.0000,49,False
6,5.0416,-0.1558,1.6079,-0.7734,1.4097,21.0596,0.0000,48,False
7,4.2409,0.4039,1.3090,-1.3021,0.1347,23.6277,0.0000,48,False
8,4.6495,-0.9170,1.0068,-0.8826,0.4844,20.8235,0.0000,51,False
9,5.4497,1.1136,1.4829,-1.1785,-0.9001,20.6749,0.0000,53,False
10,5.2293,0.3473,3.9392,-2.0623,3.3562,27.0483,0.0000,54,False
11,1.1958,-0.0601,3.9889,-3.9783,0.2904,26.1421,0.0000,35,False
12,4.4423,0.5910,1.7837,-1.7813,0.0936,26.5884,0.0000,47,False
13,4.5502,-0.7945,3.2248,-2.3151,2.2448,18.4142,0.0000,49,False
14,5.5674,1.0349,2.7738,-1.7782,-2.1288,22.5403,0.0000,57,False
15,3.3597,0.5089,1.9972,-1.9898,-0.1714,15.5289,0.0000,36,False
16,4.9461,0.8747,0.9455,-0.6665,-0.6706,19.3346,0.0000,48,False
17,5.4342,-2.3741,1.3836,-1.3810,-0.0860,20.6967,0.0000,55,False
18,5.5008,0.7784,0.5737,0.0956,-0.5657,20.5117,0.0000,53,False
19,4.6378,0.6826,1.6193,-1.5575,0.4431,17.9765,0.0000,50,False
20,5.2452,0.2153,0.4208,-0.3202,-0.2731,21.9828,0.0000,53,False
21,2.5831,0.8273,2.9393,-2.9391,0.0367,21.6998,0.0000,44,False
22,5.1231,-0.0489,0.9736,-0.7799,0.5829,27.2898,0.0000,52,False
23,5.4624,2.0954,1.2259,-0.5081,1.1156,18.5692,0.0000,50,False
24,4.9286,-0.7683,1.2932,-0.9627,-0.8634,20.1055,0.0000,50,False
25,5.2252,0.7143,2.6586,-1.8125,-1.9450,18.0295,0.0000,50,False
26,3.7218,1.1828,2.1247,-2.0029,-0.7093,25.2807,0.0000,48,False
27,4.1346,0.4160,1.2753,-1.2739,-0.0604,27.0596,0.0000,53,False
