StepCount,CheckpointName,MeanPathLength,StdPathLength,MeanPenetrationDepth,StdPenetrationDepth,MeanLateralSpread,StdLateralSpread,MeanScatterAngle,StdScatterAngle,NumParticles,BoundaryExits,BoundaryExitRate
49842,ElectronPhysics-49842.onnx,4.5100,0.7419,1.0600,1.2589,1.8022,0.7826,10.5274,0.3416,1000,206,20.60
99735,ElectronPhysics-99735.onnx,4.7233,0.4145,1.9181,1.2763,1.6911,0.7501,10.4874,0.3167,1000,65,6.50
149961,ElectronPhysics-149961.onnx,4.8077,0.0921,2.7708,1.0600,1.5033,0.6868,10.4576,0.3124,1000,7,0.70
199894,ElectronPhysics-199894.onnx,4.8126,0.0730,3.5251,0.6926,1.2147,0.5829,10.4059,0.3237,1000,1,0.10
249971,ElectronPhysics-249971.onnx,4.8163,0.0272,4.0982,0.2878,0.8670,0.4212,10.2659,0.3167,1000,0,0.00
299789,ElectronPhysics-299789.onnx,4.8147,0.0271,4.2054,0.2020,0.7475,0.3648,10.2360,0.3316,1000,0,0.00
349889,ElectronPhysics-349889.onnx,4.8143,0.0279,4.2652,0.1665,0.7456,0.3446,10.2193,0.3219,1000,0,0.00
399747,ElectronPhysics-399747.onnx,4.8140,0.0272,4.3013,0.1297,0.7513,0.3419,10.1872,0.3248,1000,0,0.00
449935,ElectronPhysics-449935.onnx,4.8145,0.0282,4.3294,0.1100,0.7635,0.3285,10.1766,0.3180,1000,0,0.00
499907,ElectronPhysics-499907.onnx,4.8155,0.0272,4.3410,0.1007,0.8596,0.3283,10.1127,0.3291,1000,0,0.00
549868,ElectronPhysics-549868.onnx,4.8154,0.0277,4.3513,0.0931,0.9315,0.3165,10.0839,0.3344,1000,0,0.00
599936,ElectronPhysics-599936.onnx,4.8164,0.0282,4.3505,0.0917,0.9632,0.3156,10.0720,0.3458,1000,0,0.00
649959,ElectronPhysics-649959.onnx,4.8153,0.0279,4.3484,0.0945,1.0278,0.3094,10.0238,0.3277,1000,0,0.00
699951,ElectronPhysics-699951.onnx,4.8170,0.0287,4.3675,0.0826,1.0381,0.2954,9.9760,0.3514,1000,0,0.00
749805,ElectronPhysics-749805.onnx,4.8152,0.0287,4.3705,0.0840,1.0380,0.2825,9.9668,0.3453,1000,0,0.00
799848,ElectronPhysics-799848.onnx,4.8168,0.0290,4.3685,0.0949,1.0329,0.2909,9.9756,0.3540,1000,0,0.00
849931,ElectronPhysics-849931.onnx,4.8175,0.0288,4.3630,0.0800,1.0787,0.2763,9.9581,0.3497,1000,0,0.00
899889,ElectronPhysics-899889.onnx,4.8144,0.0283,4.3780,0.0821,1.0340,0.2845,9.9381,0.3512,1000,0,0.00
949783,ElectronPhysics-949783.onnx,4.8175,0.0292,4.3753,0.0788,1.0769,0.2808,9.8980,0.3424,1000,0,0.00
999834,ElectronPhysics-999834.onnx,4.8172,0.0279,4.3730,0.0820,1.0831,0.2716,9.9127,0.3419,1000,0,0.00
1000068,ElectronPhysics-1000068.onnx,4.8175,0.0281,4.3823,0.0829,1.0382,0.2946,9.9325,0.3371,1000,0,0.00
