TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
0,4.7967,4.4124,1.2300,0.5920,-1.0781,9.4024,0.0000,226,False
1,4.8030,4.4739,0.8910,0.5769,-0.6790,9.9321,0.0000,236,False
2,4.7947,4.4369,0.7896,0.5895,-0.5253,10.4015,0.0019,232,False
3,4.8233,4.3699,1.1137,0.8486,-0.7213,9.9944,0.0000,238,False
4,4.8410,4.2197,1.4353,1.0274,-1.0022,9.8690,0.0000,235,False
5,4.7797,4.2875,1.2488,1.0396,-0.6919,10.3217,0.0000,234,False
6,4.7535,4.3876,0.8786,0.2448,-0.8438,10.1045,0.0062,234,False
7,4.7944,4.3131,1.2793,0.9658,-0.8390,9.4369,0.0000,236,False
8,4.8172,4.3106,1.2884,0.7769,-1.0279,9.8805,0.0000,234,False
9,4.8387,4.4355,0.8728,0.4368,-0.7557,9.7858,0.0000,236,False
10,4.8488,4.4261,0.9549,0.4158,-0.8597,10.1387,0.0000,235,False
11,4.8188,4.5013,0.7595,0.0437,-0.7582,9.3060,0.0000,233,False
12,4.7819,4.4177,0.9326,0.7350,-0.5740,10.4734,0.0000,234,False
13,4.8081,4.4845,0.8688,0.1292,-0.8591,9.9835,0.0000,234,False
14,4.7662,4.3003,1.1123,0.2817,-1.0760,9.3290,0.0013,231,False
15,4.7956,4.2215,1.2937,0.4108,-1.2268,9.9987,0.0000,236,False
16,4.8720,4.4284,1.0195,0.7064,-0.7351,10.2625,0.0000,234,False
17,4.8094,4.4323,0.9336,0.5841,-0.7283,9.5563,0.0092,237,False
18,4.8079,4.3710,1.3973,0.8878,-1.0790,9.5466,0.0000,234,False
19,4.7688,4.3693,0.9803,0.6401,-0.7424,10.0478,0.0000,231,False
20,4.8064,4.2884,1.6177,0.3973,-1.5682,9.8505,0.0000,227,False
21,4.7793,4.2703,1.1133,0.0393,-1.1126,9.9699,0.0000,233,False
22,4.8592,4.3988,1.1677,0.8975,-0.7469,9.9387,0.0000,234,False
23,4.7747,4.4549,0.5740,0.4590,-0.3447,9.8305,0.0000,237,False
24,4.8160,4.3780,1.0674,0.0993,-1.0628,10.4333,0.0000,236,False
25,4.8418,4.3269,1.4981,0.6015,-1.3720,9.7932,0.0000,232,False
26,4.7904,4.4270,1.0802,0.8239,-0.6987,10.5178,0.0000,233,False
27,4.8182,4.3446,0.8171,0.6892,-0.4389,11.1622,0.0000,242,False
28,4.8112,4.4344,0.8972,0.5161,-0.7339,9.7860,0.0000,235,False
29,4.8411,4.3241,1.2324,0.7722,-0.9605,10.2645,0.0000,229,False
30,4.8078,4.5019,0.9826,0.6935,-0.6961,9.7099,0.0000,234,False
31,4.7936,4.3747,0.9571,0.5636,-0.7735,9.8588,0.0000,237,False
32,4.8229,4.3661,1.1108,0.2733,-1.0767,9.5981,0.0000,236,False
33,4.7981,4.2570,1.2699,0.5657,-1.1370,9.7876,0.0000,230,False
34,4.8256,4.2790,1.4594,0.5320,-1.3589,9.8539,0.0000,234,False
35,4.8420,4.2771,1.2565,0.4921,-1.1561,10.2052,0.0000,231,False
