StepCount,CheckpointName,MeanPathLength,StdPathLength,MeanPenetrationDepth,StdPenetrationDepth,MeanLateralSpread,StdLateralSpread,MeanScatterAngle,StdScatterAngle,NumParticles,BoundaryExits,BoundaryExitRate
49949,ElectronPhysics-49949.onnx,4.3878,0.9070,0.9121,1.1842,1.7809,0.8349,10.5279,0.3329,1000,237,23.70
99959,ElectronPhysics-99959.onnx,4.4284,0.8605,1.0022,1.2093,1.7831,0.8215,10.5339,0.3356,1000,207,20.70
149986,ElectronPhysics-149986.onnx,4.4089,0.8490,0.9449,1.1856,1.7640,0.7981,10.5532,0.3370,1000,231,23.10
199938,ElectronPhysics-199938.onnx,4.4319,0.8571,0.9236,1.1783,1.7953,0.8151,10.5375,0.3355,1000,210,21.00
249919,ElectronPhysics-249919.onnx,4.4168,0.8883,0.9406,1.1780,1.7263,0.7933,10.5190,0.3433,1000,212,21.20
299905,ElectronPhysics-299905.onnx,4.4463,0.8321,0.9652,1.1635,1.7829,0.8028,10.5180,0.3306,1000,209,20.90
349980,ElectronPhysics-349980.onnx,4.4448,0.8486,0.9289,1.1473,1.7684,0.8310,10.5213,0.3331,1000,212,21.20
399972,ElectronPhysics-399972.onnx,4.4211,0.8735,0.9904,1.1920,1.7730,0.8094,10.5268,0.3330,1000,213,21.30
449967,ElectronPhysics-449967.onnx,4.4111,0.8741,0.9043,1.1755,1.7432,0.7838,10.5201,0.3307,1000,231,23.10
499998,ElectronPhysics-499998.onnx,4.4239,0.8362,0.9541,1.1938,1.7528,0.7802,10.5109,0.3308,1000,233,23.30
549957,ElectronPhysics-549957.onnx,4.4704,0.8062,0.9644,1.1959,1.7808,0.8194,10.5397,0.3291,1000,210,21.00
599965,ElectronPhysics-599965.onnx,4.4491,0.8092,0.9917,1.1899,1.7874,0.8273,10.5485,0.3406,1000,222,22.20
649955,ElectronPhysics-649955.onnx,4.3635,0.9272,0.9276,1.2074,1.7253,0.8277,10.5624,0.3538,1000,250,25.00
699943,ElectronPhysics-699943.onnx,4.4100,0.8635,0.9261,1.1893,1.7528,0.7759,10.5256,0.3371,1000,230,23.00
749881,ElectronPhysics-749881.onnx,4.4491,0.8317,0.9136,1.1578,1.7796,0.8152,10.5440,0.3272,1000,219,21.90
799947,ElectronPhysics-799947.onnx,4.4717,0.8054,0.9747,1.1837,1.7847,0.8143,10.5147,0.3467,1000,197,19.70
849971,ElectronPhysics-849971.onnx,4.3898,0.8952,0.8846,1.1840,1.7608,0.8150,10.5275,0.3379,1000,235,23.50
899899,ElectronPhysics-899899.onnx,4.4303,0.8589,0.9600,1.1952,1.7968,0.8178,10.5358,0.3383,1000,216,21.60
949993,ElectronPhysics-949993.onnx,4.4325,0.8443,0.8972,1.1865,1.7584,0.8177,10.5349,0.3394,1000,222,22.20
999892,ElectronPhysics-999892.onnx,4.3990,0.9018,0.9132,1.1686,1.7790,0.8056,10.5380,0.3401,1000,226,22.60
1000020,ElectronPhysics-1000020.onnx,4.3757,0.9090,0.9190,1.1763,1.7539,0.8153,10.5371,0.3270,1000,239,23.90
