StepCount,CheckpointName,MeanPathLength,StdPathLength,MeanPenetrationDepth,StdPenetrationDepth,MeanLateralSpread,StdLateralSpread,MeanScatterAngle,StdScatterAngle,NumParticles,BoundaryExits,BoundaryExitRate
49855,ElectronPhysics-49855.onnx,4.8194,0.0329,4.4553,0.0676,0.5263,0.2443,12.9053,0.9916,1000,0,0.00
99957,ElectronPhysics-99957.onnx,4.8198,0.0341,4.4516,0.0821,0.7099,0.2338,11.9724,0.6309,1000,0,0.00
149978,ElectronPhysics-149978.onnx,4.8147,0.0317,3.5678,0.8096,1.6342,0.5606,13.4045,1.9068,1000,0,0.00
199894,ElectronPhysics-199894.onnx,4.8192,0.0331,4.0115,0.3508,1.5354,0.2958,12.9725,1.5010,1000,0,0.00
249954,ElectronPhysics-249954.onnx,4.8182,0.0327,4.4255,0.0572,0.9512,0.1596,13.3232,0.4416,1000,0,0.00
299976,ElectronPhysics-299976.onnx,4.8169,0.0319,4.3919,0.0767,0.9981,0.1830,11.8109,0.5352,1000,0,0.00
349803,ElectronPhysics-349803.onnx,4.8106,0.0289,4.0409,0.4675,1.0279,0.2794,12.8151,1.1651,1000,0,0.00
399837,ElectronPhysics-399837.onnx,4.8105,0.0297,3.8269,0.9377,0.8595,0.4336,13.8823,1.0797,1000,0,0.00
449928,ElectronPhysics-449928.onnx,4.8184,0.0304,3.5200,0.3770,1.9071,0.4371,10.9181,1.7602,1000,0,0.00
499798,ElectronPhysics-499798.onnx,4.8035,0.0719,3.9973,0.7234,1.0038,0.4689,12.5865,1.0514,1000,0,0.00
549994,ElectronPhysics-549994.onnx,4.8123,0.0311,4.0169,0.7864,1.1715,0.5151,11.4148,1.1687,1000,0,0.00
599869,ElectronPhysics-599869.onnx,4.8154,0.0324,4.3773,0.2211,0.9837,0.3129,11.7001,1.3035,1000,0,0.00
649859,ElectronPhysics-649859.onnx,4.8169,0.0297,2.5476,0.0777,3.0003,0.1726,13.2473,0.8481,1000,0,0.00
699953,ElectronPhysics-699953.onnx,4.8188,0.0334,4.3043,0.0579,1.2968,0.1252,9.2320,0.4878,1000,0,0.00
749960,ElectronPhysics-749960.onnx,4.8187,0.0336,4.2871,0.0695,1.5415,0.1583,10.3149,0.4711,1000,0,0.00
799894,ElectronPhysics-799894.onnx,4.8162,0.0335,4.5426,0.0693,0.9738,0.1940,12.0082,0.4894,1000,0,0.00
849865,ElectronPhysics-849865.onnx,4.8180,0.0328,4.5266,0.0609,0.9836,0.1272,12.6379,0.4354,1000,0,0.00
899943,ElectronPhysics-899943.onnx,4.8196,0.0320,4.5705,0.0440,0.9989,0.0635,11.8743,0.3824,1000,0,0.00
949834,ElectronPhysics-949834.onnx,4.8204,0.0328,4.5970,0.0384,0.8722,0.0400,11.3740,0.5039,1000,0,0.00
999839,ElectronPhysics-999839.onnx,4.8194,0.0333,4.5638,0.1027,0.9012,0.0571,11.3734,0.5869,1000,0,0.00
1000013,ElectronPhysics-1000013.onnx,4.8191,0.0344,4.5611,0.0993,0.9052,0.0625,11.3452,0.5792,1000,0,0.00
