TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
0,4.8261,4.5824,0.8991,0.4265,0.7915,12.7168,0.0000,165,False
1,4.8677,4.6336,0.8663,0.4404,0.7460,12.3695,0.0000,168,False
2,4.8589,4.6313,0.8935,0.3151,0.8361,11.8546,0.0000,166,False
3,4.8165,4.5972,0.8498,0.4026,0.7484,11.5601,0.0000,164,False
4,4.7803,4.5181,0.9084,0.6745,0.6085,11.7325,0.0000,162,False
5,4.7606,4.5047,0.9182,0.6322,0.6658,12.2724,0.0000,162,False
6,4.7895,4.5536,0.8816,0.1922,0.8604,10.9219,0.0000,163,False
7,4.8301,4.5473,0.8817,-0.0236,0.8814,11.5128,0.0000,166,False
8,4.8259,4.5386,1.0204,0.8249,0.6006,10.9043,0.0000,165,False
9,4.7855,4.5095,0.9478,0.7319,0.6021,11.6752,0.0000,164,False
10,4.8118,4.5607,0.9094,0.0140,0.9093,11.8226,0.0000,164,False
11,4.8000,4.5781,0.8624,0.1242,0.8534,11.0179,0.0000,163,False
12,4.7577,4.5259,0.8611,0.5086,0.6949,11.9119,0.0000,163,False
13,4.8472,4.6061,0.8555,0.0160,0.8553,11.2038,0.0000,167,False
14,4.8258,4.5732,0.8880,0.3557,0.8137,11.4744,0.0000,167,False
15,4.8312,4.6039,0.8735,0.2742,0.8293,11.8263,0.0000,166,False
16,4.8114,4.5827,0.9007,0.2158,0.8744,11.0524,0.0000,164,False
17,4.7436,4.5223,0.8898,0.0159,0.8897,10.9672,0.0000,162,False
18,4.7753,4.5251,0.9306,-0.1267,0.9220,10.3659,0.0000,165,False
19,4.8473,4.6206,0.8766,0.5503,0.6823,11.8637,0.0000,165,False
20,4.7822,4.5477,0.8529,0.1794,0.8338,11.0731,0.0060,163,False
21,4.8168,4.5531,0.9130,0.6308,0.6600,10.9429,0.0000,164,False
22,4.8567,4.6397,0.8367,0.2952,0.7829,11.6543,0.0071,168,False
23,4.8612,4.6235,0.8429,0.2857,0.7930,12.0176,0.0000,167,False
24,4.8264,4.5685,0.8935,0.3771,0.8100,12.2269,0.0000,168,False
25,4.7971,4.5146,0.9103,0.7094,0.5704,10.9505,0.0000,164,False
26,4.8665,4.6351,0.8817,0.0955,0.8765,11.4677,0.0000,167,False
27,4.8025,4.5572,0.9101,0.0288,0.9096,11.3331,0.0000,165,False
28,4.8089,4.5498,0.9210,0.6429,0.6594,10.9062,0.0000,164,False
29,4.8345,4.6058,0.8454,0.2102,0.8188,11.6668,0.0000,166,False
30,4.7849,4.5210,0.8697,0.1465,0.8573,11.3505,0.0074,164,False
31,4.8400,4.5686,0.9806,0.7728,0.6037,10.6224,0.0000,164,False
32,4.7701,4.5286,0.9385,0.6256,0.6996,11.8049,0.0073,161,False
33,4.7947,4.5454,1.0009,-0.3626,0.9329,10.1967,0.0000,164,False
34,4.8377,4.6128,0.8758,0.1534,0.8623,11.3694,0.0000,166,False
35,4.7509,4.5076,0.9163,-0.1763,0.8991,10.3993,0.0051,163,False
36,4.8137,4.5434,0.9527,0.7685,0.5632,11.3532,0.0000,163,False
